"B (Tesla)" 	"P"
0 	0
0.10000000000000001 	0.029999999999999999
0.20000000000000001 	0.070000000000000007
0.29999999999999999 	0.13
0.40000000000000002 	0.22
0.5 	0.31
0.59999999999999998 	0.42999999999999999
0.69999999999999996 	0.54000000000000004
0.80000000000000004 	0.68000000000000005
0.90000000000000002 	0.82999999999999996
1 	1.01
1.1000000000000001 	1.2
1.2 	1.4199999999999999
1.3 	1.7
1.3999999999999999 	2.1200000000000001
1.5 	2.4700000000000002
1.6000000000000001 	2.7999999999999998
1.7 	3.0499999999999998
1.8 	3.25
